OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,SalesAmount,Discount,DiscountAmount,NetSales,Cost,Profit
ORD100000,2021-02-11,CUST13760,PROD1278,9,623.94,5615.460000000001,0.04,224.61840000000004,5390.841600000001,3848.4032863461243,1542.4383136538763
ORD100001,2023-05-09,CUST14116,PROD1503,7,3308.67,23160.690000000002,0.21,4863.744900000001,18296.9451,15870.310836237564,2426.6342637624366
ORD100002,2022-06-19,CUST14411,PROD1732,2,2558.34,5116.68,0.17,869.8356000000001,4246.8444,3688.663551974346,558.1808480256541
ORD100003,2022-04-02,CUST12611,PROD1557,5,1174.9,5874.5,0.14,822.4300000000001,5052.07,3386.7901205496883,1665.2798794503115
ORD100004,2022-11-24,CUST15557,PROD1490,2,4554.3,9108.6,0.06,546.516,8562.084,6951.548945861941,1610.5350541380594
ORD100005,2023-12-18,CUST11446,PROD1584,5,2594.66,12973.3,0.08,1037.864,11935.436,8649.231912555952,3286.204087444048
ORD100006,2022-07-23,CUST15352,PROD1565,7,646.86,4528.02,0.11,498.08220000000006,4029.9378000000006,3549.5698831768736,480.36791682312696
ORD100007,2021-08-16,CUST12170,PROD1838,5,4180.93,20904.65,0.24,5017.116,15887.534000000001,13022.592084540016,2864.9419154599855
ORD100008,2022-10-08,CUST12921,PROD1732,2,2558.34,5116.68,0.3,1535.0040000000001,3581.6760000000004,2680.1895785432544,901.486421456746
ORD100009,2022-05-31,CUST15055,PROD1892,5,3004.03,15020.150000000001,0.06,901.2090000000001,14118.941,11933.659381938245,2185.2816180617556
ORD100010,2023-10-26,CUST13683,PROD1336,6,1532.41,9194.460000000001,0.1,919.4460000000001,8275.014000000001,7442.2460639968085,832.7679360031925
ORD100011,2023-09-14,CUST12261,PROD1520,5,120.98,604.9,0.08,48.391999999999996,556.508,408.53975280663917,147.96824719336087
ORD100012,2023-02-13,CUST11945,PROD1325,2,189.91,379.82,0.01,3.7982,376.0218,267.74772228823764,108.27407771176235
ORD100013,2021-11-27,CUST14934,PROD1171,6,2329.04,13974.24,0.07,978.1968,12996.0432,10164.346129208254,2831.6970707917462
ORD100014,2021-07-02,CUST15063,PROD1083,6,2492.38,14954.28,0.27,4037.6556000000005,10916.6244,8787.06106806017,2129.563331939831
ORD100015,2021-04-02,CUST11853,PROD1841,2,4953.77,9907.54,0.25,2476.885,7430.655000000001,6028.747184343904,1401.9078156560963
ORD100016,2022-03-03,CUST10599,PROD1840,4,649.79,2599.16,0.05,129.958,2469.2019999999998,1832.3327528887626,636.8692471112372
ORD100017,2022-06-11,CUST14887,PROD1523,7,4769.93,33389.51,0.11,3672.8461,29716.663900000003,20792.388214720853,8924.27568527915
ORD100018,2021-10-06,CUST14135,PROD1480,1,367.16,367.16,0.09,33.0444,334.11560000000003,282.8547240178533,51.26087598214673
ORD100019,2023-05-14,CUST13403,PROD1543,1,2734.48,2734.48,0.04,109.3792,2625.1008,2329.7194506660276,295.3813493339726
ORD100020,2023-02-23,CUST12990,PROD1417,6,307.57,1845.42,0.19,350.62980000000005,1494.7902,1284.3156021891116,210.47459781088833
ORD100021,2022-12-21,CUST14743,PROD1338,7,3562.8,24939.600000000002,0.17,4239.732000000001,20699.868000000002,16657.313525716036,4042.5544742839666
ORD100022,2023-03-23,CUST14277,PROD1800,5,4802.66,24013.3,0.13,3121.729,20891.571,14792.173122623155,6099.397877376845
ORD100023,2022-07-22,CUST14360,PROD1319,8,2834.44,22675.52,0.26,5895.635200000001,16779.8848,13201.489422175313,3578.395377824687
ORD100024,2023-01-03,CUST12818,PROD1303,4,4367.36,17469.44,0.19,3319.1935999999996,14150.2464,8919.579787330262,5230.666612669738
ORD100025,2021-12-18,CUST10862,PROD1271,3,4772.92,14318.76,0.08,1145.5008,13173.2592,10013.967714249577,3159.291485750424
